#species	taxid	source
dalb	7291	NCBI
dana	7217	NCBI
dari	7263	NCBI
dbia	125945	NCBI
dbip	42026	NCBI
dele	30023	NCBI
dere	7220	NCBI
deug	29029	NCBI
dfic	30025	NCBI
dgri	7222	NCBI
dgua	7266	NCBI
dhyd	7224	NCBI
dinn	198719	NCBI
dkik	30033	NCBI
dmau	7226	NCBI
dmel	7227	FlyBase
dmir	7229	NCBI
dmoj	7230	NCBI
dnav	7232	NCBI
dnov	47314	NCBI
dobs	7282	NCBI
dper	7234	NCBI
dpse	7237	NCBI
drho	1041015	NCBI
dsec	7238	NCBI
dser	7274	NCBI
dsub	7241	NCBI
dsuz	28584	NCBI
dtak	29030	NCBI
dvir	7244	NCBI
dwil	7260	NCBI
sleb	7225	NCBI
