OGid	ppid	start	stop	state
3a8f	XP_030566890	0	114	0
3a8f	XP_030566890	114	171	1
3a8f	XP_030566890	171	227	0
3a8f	XP_030566890	227	283	1
3a8f	XP_030566890	283	385	0
3a8f	XP_030566890	385	447	1
3a8f	XP_030566890	447	505	0
3a8f	XP_030566890	505	679	1
3a8f	XP_030566890	679	828	0
3a8f	XP_002062537	0	828	0
08a3	XP_030246006	0	1337	1
08a3	XP_030246006	1337	2635	0
08a3	XP_034670941	0	2635	0
1fc1	XP_039231403	0	315	0
1fc1	XP_039231403	315	580	1
1fc1	XP_039231403	580	1141	0
1fc1	XP_039150630	0	1141	0
310a	XP_026847595	0	653	1
310a	XP_026847595	653	1992	0
310a	XP_030081927	0	1992	0
35d3	XP_030567210	0	148	1
35d3	XP_030567210	148	2434	0
35d3	XP_030081179	0	326	1
35d3	XP_030081179	326	476	0
35d3	XP_030081179	476	651	1
35d3	XP_030081179	651	1318	0
35d3	XP_030081179	1318	1428	1
35d3	XP_030081179	1428	2434	0
45b0	XP_032586664	0	770	0
45b0	XP_032586664	770	824	1
45b0	XP_032586664	824	1092	0
45b0	XP_020804493	0	625	0
45b0	XP_020804493	625	1092	1
