OGid	ppid	start	stop	label
#
010D	XP_039479706.2	0	1248	2
010D	XP_039479706.2	1248	3480	1
#
0215	XP_034664228.1	0	449	2
0215	XP_034664228.1	449	2412	1
#
03A7	XP_026838772.1	0	3462	1
#
03A7	XP_030079438.1	0	519	2
03A7	XP_030079438.1	519	3462	1
#
03A7	XP_043072155.1	0	3462	1
#
03A7	XP_043658215.1	0	3462	1
#
042F	XP_017071833.1	0	3818	1
#
042F	XP_037722829.1	0	3818	1
#
2160	XP_030079303.1	0	378	2
2160	XP_030079303.1	378	2319	1
#
2160	XP_043658062.1	0	234	2
2160	XP_043658062.1	234	2319	1
#
2A24	XP_016033032.1	0	2988	1
#
2A24	XP_032573487.1	0	1069	1
2A24	XP_032573487.1	1069	1593	2
2A24	XP_032573487.1	1593	2988	1
#
2E6D	XP_017131282.1	0	1256	1
#
2E6D	XP_036675606.1	0	1256	1
#
2FDB	XP_043864187.1	0	3728	1
#
2FDB	XP_030079335.1	0	3728	1
#
32B8	XP_017050781.1	0	2293	1
#
32B8	XP_020805402.1	0	2293	1
#
32B8	XP_032582524.1	0	2293	1
