OGid	start	stop	label
004D	0	2	1A
004D	2	407	3
004D	407	454	1A
004D	454	861	3
004D	861	885	1A
004D	885	962	1B
004D	962	1063	1A
004D	1063	1083	1B
004D	1083	1103	1A
004D	1103	1143	1B
004D	1143	1187	1A
004D	1187	1251	1B
004D	1251	1331	1A
004D	1331	1508	1B
004D	1508	2553	1A
004D	2553	2563	1B
004D	2563	2597	1A
004D	2597	2684	1B
004D	2684	2718	1A
004D	2718	2726	1B
004D	2726	2959	1A
004D	2959	2966	1B
004D	2966	3907	1A
004D	3907	3952	1B
004D	3952	4074	1A
004D	4074	4121	1B
0167	0	156	1B
0167	156	213	1A
0167	213	218	1B
0167	218	252	1A
0167	252	277	1B
0167	277	348	1A
0167	348	355	1B
0167	355	395	1A
0167	395	403	1B
0167	403	422	1A
0167	422	437	1B
0167	437	534	1A
0167	534	554	1B
0167	554	685	1A
0167	685	697	1B
0167	697	814	1A
0167	814	917	1B
0167	917	929	1A
0167	929	954	3
0167	954	1042	1A
0167	1042	1075	1B
0167	1075	1102	1A
0167	1102	1114	1B
0167	1114	1185	1A
0167	1185	1192	1B
0167	1192	1207	1A
0167	1207	1216	1B
0167	1216	1238	1A
0167	1238	1244	1B
0167	1244	1271	1A
0167	1271	1296	1B
0167	1296	1315	1A
0167	1315	1508	1B
0167	1508	1539	1A
0167	1539	1554	1B
0167	1554	1594	1A
0167	1594	1624	1B
0167	1624	1651	1A
0167	1651	1666	1B
0167	1666	1720	1A
0167	1720	1732	1B
0167	1732	1789	1A
0167	1789	1828	1B
0167	1828	1878	1A
0167	1878	1885	1B
0167	1885	1937	1A
0167	1937	1956	1B
0167	1956	2117	1A
0167	2117	2140	1B
0167	2140	2159	1A
0167	2159	2168	2
0167	2168	2215	1A
0167	2215	2336	3
0167	2336	2370	1B
0167	2370	2688	3
0167	2688	2701	1A
0167	2701	2753	1B
0167	2753	2881	1A
0167	2881	2960	1B
0167	2960	3022	1A
0167	3022	3097	1B
0167	3097	3372	1A
0167	3372	3415	1B
0167	3415	3850	1A
028D	0	57	1B
028D	57	90	1A
028D	90	125	3
028D	125	145	1A
028D	145	251	1B
028D	251	272	1A
028D	272	324	1B
028D	324	368	1A
028D	368	483	1B
028D	483	513	1A
028D	513	562	1B
028D	562	602	1A
028D	602	1033	1B
028D	1033	1078	1A
028D	1078	1147	1B
028D	1147	1193	1A
028D	1193	1439	1B
028D	1439	1466	1A
028D	1466	1794	1B
028D	1794	1848	3
028D	1848	1855	1B
028D	1855	1888	1A
028D	1888	1910	1B
028D	1910	1942	1A
028D	1942	1962	1B
028D	1962	1989	1A
028D	1989	2012	1B
028D	2012	2039	1A
028D	2039	2073	1B
028D	2073	2098	1A
028D	2098	2112	1B
028D	2112	2140	1A
028D	2140	3553	1B
028D	3553	3587	1A
028D	3587	3705	3
028D	3705	3814	1A
028D	3814	3850	1B
028D	3850	3879	1A
028D	3879	3891	1B
028D	3891	3928	1A
028D	3928	3980	1B
028D	3980	4199	1A
028D	4199	4216	1B
028D	4216	4453	1A
028D	4453	4460	1B
028D	4460	4547	1A
028D	4547	4552	1B
0310	0	841	2
0310	841	860	1A
0310	860	924	1B
0310	924	944	1A
0310	944	1000	1B
0310	1000	1019	1A
0310	1019	1093	1B
0310	1093	1145	1A
0310	1145	1205	1B
0310	1205	1218	1A
0310	1218	1235	1B
0310	1235	1290	1A
0310	1290	1325	1B
0310	1325	1361	1A
0310	1361	1403	1B
0310	1403	1762	1A
0310	1762	1813	1B
0310	1813	1938	1A
0310	1938	2046	1B
0310	2046	2159	1A
0310	2159	2182	1B
0310	2182	2440	1A
0310	2440	2462	1B
0310	2462	2481	1A
0310	2481	2552	1B
0310	2552	2599	1A
0310	2599	2613	1B
0310	2613	2629	1A
0310	2629	2703	1B
0310	2703	2841	1A
0310	2841	2906	1B
0310	2906	2951	1A
0310	2951	3000	1B
0310	3000	3024	1A
0311	0	18	1B
0311	18	480	1A
0311	480	546	1B
0311	546	712	1A
0311	712	778	3
0311	778	811	1B
0311	811	838	1A
0311	838	937	3
0311	937	987	1B
0311	987	1053	3
0311	1053	1092	1B
0311	1092	1191	3
0311	1191	1207	1B
0311	1207	1230	1A
0311	1230	1296	3
0311	1296	1307	1A
0311	1307	1406	3
0311	1406	1494	1A
0311	1494	1593	2
0311	1593	1650	1A
0311	1650	1749	3
0311	1749	1767	1A
0311	1767	1866	3
0311	1866	1893	1A
0311	1893	1959	3
0311	1959	2009	1A
0311	2009	2075	3
0311	2075	2198	1A
0311	2198	2214	1B
0311	2214	2232	1A
0311	2232	2265	2
0311	2265	2272	1A
0311	2272	2320	1B
0311	2320	2518	3
0311	2518	2536	1B
0311	2536	2736	1A
0311	2736	2792	1B
0311	2792	2809	1A
0311	2809	2965	1B
0311	2965	3026	1A
0311	3026	3149	3
04AD	0	73	1A
04AD	73	86	1B
04AD	86	477	1A
04AD	477	898	1B
04AD	898	1074	3
04AD	1074	1128	1B
04AD	1128	1148	1A
04AD	1148	1167	1B
04AD	1167	1361	1A
04AD	1361	1386	1B
04AD	1386	1435	1A
04AD	1435	1481	1B
04AD	1481	2419	1A
04AD	2419	2482	3
04AD	2482	4762	1A
2770	0	58	1B
2770	58	168	1A
2770	168	200	1B
2770	200	294	1A
2770	294	305	1B
2770	305	335	1A
2770	335	344	1B
2770	344	366	1A
2770	366	407	1B
2770	407	440	1A
2770	440	449	1B
2770	449	524	1A
2770	524	536	1B
2770	536	557	1A
2770	557	574	1B
2770	574	589	1A
2770	589	593	1B
2770	593	728	1A
2770	728	739	1B
2770	739	1027	1A
2770	1027	1036	1B
2770	1036	1186	1A
2770	1186	1275	1B
2770	1275	1335	1A
2770	1335	1355	1B
2770	1355	1383	1A
2770	1383	1428	1B
2770	1428	1452	1A
2770	1452	1573	1B
2770	1573	1652	1A
2770	1652	1715	1B
2770	1715	1910	1A
2770	1910	1951	1B
2770	1951	1965	1A
2770	1965	2065	1B
2770	2065	2130	1A
2770	2130	2271	1B
2770	2271	2683	3
2770	2683	2723	1A
2770	2723	2743	3
2C35	0	53	3
2C35	53	178	1A
2C35	178	261	1B
2C35	261	294	1A
2C35	294	309	1B
2C35	309	342	1A
2C35	342	347	1B
2C35	347	397	1A
2C35	397	405	1B
2C35	405	711	1A
2C35	711	747	1B
2C35	747	760	1A
2C35	760	925	1B
2C35	925	956	1A
2C35	956	1090	1B
2C35	1090	1238	1A
2C35	1238	1246	1B
2C35	1246	1282	1A
2C35	1282	1306	1B
2C35	1306	1384	1A
2C35	1384	1408	1B
2C35	1408	1585	1A
2C35	1585	1600	1B
2C35	1600	1636	1A
2C35	1636	1641	1B
2C35	1641	1697	1A
2C35	1697	1752	1B
2C35	1752	1796	1A
2C35	1796	1912	1B
2C35	1912	2203	2
2C35	2203	2225	1B
2C35	2225	2834	2
2E2F	0	245	1A
2E2F	245	260	1B
2E2F	260	289	1A
2E2F	289	324	1B
2E2F	324	382	1A
2E2F	382	471	3
2E2F	471	575	1A
2E2F	575	926	2
2E2F	926	1058	1B
2E2F	1058	1100	1A
2E2F	1100	1142	1B
2E2F	1142	1158	1A
2E2F	1158	1253	3
2E2F	1253	1350	1A
2E2F	1350	1369	1B
2E2F	1369	1381	1A
2E2F	1381	1394	1B
2E2F	1394	1497	1A
2E2F	1497	1519	1B
2E2F	1519	1549	1A
2E2F	1549	1573	1B
2E2F	1573	1670	1A
2E2F	1670	1731	1B
2E2F	1731	1922	1A
2E2F	1922	1966	1B
2E2F	1966	1996	1A
2E2F	1996	2280	1B
2E2F	2280	2370	1A
2E2F	2370	2442	1B
2E2F	2442	2464	1A
2E2F	2464	2517	3
2E2F	2517	2731	1A
2E2F	2731	2770	1B
2E2F	2770	2852	1A
2E2F	2852	2964	1B
2E2F	2964	2986	1A
2E2F	2986	3105	1B
2E2F	3105	3126	1A
2E2F	3126	3138	1B
2E2F	3138	3349	1A
2E6D	0	17	1B
2E6D	17	369	1A
2E6D	369	454	1B
2E6D	454	768	3
2E6D	768	922	1B
2E6D	922	980	3
2E6D	980	1324	1B
2E6D	1324	1411	3
2E6D	1411	1718	1B
2E6D	1718	1757	3
