OGid	ppid	start	stop	label	active
#
002B	XP_023037927.1	0	507	0	True
002B	XP_023037927.1	507	558	1	True
002B	XP_023037927.1	558	586	0	True
#
002B	XP_030560498.1	0	586	0	True
#
002F	XP_017122863.1	0	1654	0	True
#
002F	XP_034658954.1	0	515	0	True
002F	XP_034658954.1	515	1171	1	True
002F	XP_034658954.1	1171	1654	0	True
#
002F	XP_036671841.1	0	515	0	True
002F	XP_036671841.1	515	1171	1	True
002F	XP_036671841.1	1171	1654	0	True
#
004C	XP_026842707.1	0	12	0	True
004C	XP_026842707.1	12	46	1	True
004C	XP_026842707.1	46	344	0	True
#
004C	XP_032572584.1	0	344	0	True
#
004C	XP_043064237.1	0	215	0	True
004C	XP_043064237.1	215	304	1	True
004C	XP_043064237.1	304	344	0	True
#
004C	XP_044315282.1	0	19	1	True
004C	XP_044315282.1	19	344	0	True
#
004C	XP_043064237.1	962	1102	0	True
#
004C	XP_043866347.1	962	1102	0	True
#
004D	XP_044316823.1	0	327	1	True
004D	XP_044316823.1	327	343	0	True
004D	XP_044316823.1	343	386	1	True
004D	XP_044316823.1	386	473	0	True
004D	XP_044316823.1	473	536	1	True
004D	XP_044316823.1	536	563	0	True
#
0087	XP_016969686.2	0	25	0	True
0087	XP_016969686.2	25	247	1	True
0087	XP_016969686.2	247	333	0	True
0087	XP_016969686.2	333	442	1	True
0087	XP_016969686.2	442	603	0	True
#
0087	XP_026848750.1	0	16	1	True
0087	XP_026848750.1	16	25	0	True
0087	XP_026848750.1	25	247	1	True
0087	XP_026848750.1	247	333	0	True
0087	XP_026848750.1	333	442	1	True
0087	XP_026848750.1	442	603	0	True
#
0087	XP_032575037.1	0	29	1	True
0087	XP_032575037.1	29	603	0	True
#
008F	XP_039500276.1	0	122	1	True
008F	XP_039500276.1	122	254	0	True
#
00F6	XP_017113277.1	577	682	0	True
00F6	XP_017113277.1	682	720	1	True
00F6	XP_017113277.1	720	874	0	True
#
00F6	XP_023179085.2	577	682	0	True
00F6	XP_023179085.2	682	705	1	True
00F6	XP_023179085.2	705	874	0	True
#
00F6	XP_032581489.1	577	874	0	True
#
00F6	XP_043867580.1	577	772	0	True
00F6	XP_043867580.1	772	834	1	True
00F6	XP_043867580.1	834	874	0	True
#
010D	XP_030569778.1	301	364	0	True
010D	XP_030569778.1	364	469	1	True
010D	XP_030569778.1	469	550	0	True
#
010D	XP_017002872.2	465	748	0	True
010D	XP_017002872.2	748	872	1	True
010D	XP_017002872.2	872	945	0	True
#
010D	XP_039479706.2	465	748	0	True
010D	XP_039479706.2	748	872	1	True
010D	XP_039479706.2	872	945	0	True
#
010D	XP_030080568.1	870	943	0	True
010D	XP_030080568.1	943	1002	1	True
010D	XP_030080568.1	1002	1400	0	True
#
0116	XP_030562521.1	657	905	0	True
#
0167	XP_017116584.1	0	3676	0	True
#
0167	XP_030241823.1	0	31	0	True
0167	XP_030241823.1	31	45	1	True
0167	XP_030241823.1	45	2184	0	True
0167	XP_030241823.1	2184	2271	1	True
0167	XP_030241823.1	2271	2341	0	True
0167	XP_030241823.1	2341	2678	1	True
0167	XP_030241823.1	2678	3676	0	True
#
022B	XP_043648847.1	1188	1568	0	True
#
0275	XP_016995150.2	408	923	0	True
0275	XP_016995150.2	923	997	1	True
0275	XP_016995150.2	997	1222	0	True
#
028D	XP_026848975.1	3154	3295	0	True
#
039F	XP_017040837.1	1868	2311	0	True
#
03E7	XP_016960403.1	698	1063	0	True
#
03E7	XP_022223442.2	698	803	0	True
03E7	XP_022223442.2	803	864	1	True
03E7	XP_022223442.2	864	1063	0	True
#
03E7	XP_022223442.2	1180	1258	0	True
03E7	XP_022223442.2	1258	1376	1	True
03E7	XP_022223442.2	1376	1656	0	True
#
0430	XP_017042085.1	0	310	0	True
0430	XP_017042085.1	310	363	1	True
0430	XP_017042085.1	363	469	0	True
0430	XP_017042085.1	469	506	1	True
0430	XP_017042085.1	506	632	0	True
0430	XP_017042085.1	632	657	1	True
0430	XP_017042085.1	657	1055	0	True
#
0430	XP_026837756.1	0	224	0	True
0430	XP_026837756.1	224	314	1	True
0430	XP_026837756.1	314	1055	0	True
#
0430	XP_039152397.1	0	1055	0	True
#
0430	XP_043062748.1	0	163	0	True
0430	XP_043062748.1	163	280	1	True
0430	XP_043062748.1	280	1055	0	True
#
0430	XP_044317375.1	0	163	1	True
0430	XP_044317375.1	163	1055	0	True
#
07C3	XP_002103136.3	0	251	0	True
#
07C3	XP_020817947.1	0	64	1	True
07C3	XP_020817947.1	64	251	0	True
#
07C3	XP_032288889.1	0	95	0	True
07C3	XP_032288889.1	95	147	1	True
07C3	XP_032288889.1	147	251	0	True
#
07C3	XP_043071052.1	0	65	0	True
07C3	XP_043071052.1	65	169	1	True
07C3	XP_043071052.1	169	251	0	True
#
07C3	XP_033239762.1	168	187	1	True
07C3	XP_033239762.1	187	243	0	True
07C3	XP_033239762.1	243	275	1	True
07C3	XP_033239762.1	275	321	0	True
07C3	XP_033239762.1	321	463	1	True
07C3	XP_033239762.1	463	523	0	True
#
0914	XP_002046844.3	490	871	0	True
0914	XP_002046844.3	871	900	1	True
#
0F48	XP_002091451.3	0	231	0	True
#
1759	XP_036677812.1	1140	1696	0	True
1759	XP_036677812.1	1696	2442	1	True
1759	XP_036677812.1	2442	2854	0	True
#
1E46	XP_017125273.1	0	154	1	True
1E46	XP_017125273.1	154	464	0	True
#
1E46	XP_002058062.3	0	148	0	True
1E46	XP_002058062.3	148	367	1	True
1E46	XP_002058062.3	367	460	0	True
1E46	XP_002058062.3	460	528	1	True
#
1E46	XP_016924105.2	695	725	1	True
1E46	XP_016924105.2	725	843	0	True
#
1E46	XP_037724770.1	695	736	1	True
1E46	XP_037724770.1	736	843	0	True
#
1E46	XP_001963825.3	805	843	0	True
1E46	XP_001963825.3	843	911	1	True
1E46	XP_001963825.3	911	948	0	True
#
1E46	XP_017093115.2	805	843	0	True
1E46	XP_017093115.2	843	877	1	True
1E46	XP_017093115.2	877	948	0	True
#
1E46	XP_017050876.2	915	1051	0	True
#
1E46	XP_039152480.1	915	1051	0	True
#
1E46	XP_016992643.2	1945	1973	0	True
1E46	XP_016992643.2	1973	1996	1	True
1E46	XP_016992643.2	1996	2007	0	True
1E46	XP_016992643.2	2007	2058	1	True
1E46	XP_016992643.2	2058	2079	0	True
1E46	XP_016992643.2	2079	2114	1	True
1E46	XP_016992643.2	2114	2154	0	True
#
1E46	XP_043867619.1	1945	1973	0	True
1E46	XP_043867619.1	1973	2008	1	True
1E46	XP_043867619.1	2008	2034	0	True
1E46	XP_043867619.1	2034	2114	1	True
1E46	XP_043867619.1	2114	2154	0	True
#
1E46	XP_016973503.2	2407	2482	0	True
1E46	XP_016973503.2	2482	2564	1	True
1E46	XP_016973503.2	2564	2628	0	True
#
1E46	XP_017074450.1	2407	2436	0	True
1E46	XP_017074450.1	2436	2472	1	True
1E46	XP_017074450.1	2472	2628	0	True
#
1E46	XP_034479221.1	2407	2472	0	True
1E46	XP_034479221.1	2472	2528	1	True
1E46	XP_034479221.1	2528	2628	0	True
#
1E46	XP_034479221.1	2565	2628	0	True
1E46	XP_034479221.1	2628	2674	1	True
1E46	XP_034479221.1	2674	2761	0	True
#
1E46	XP_023168984.2	2702	2768	0	True
1E46	XP_023168984.2	2768	2829	1	True
1E46	XP_023168984.2	2829	2946	0	True
#
22A7	XP_037713003.1	138	365	0	True
#
2238	XP_017114429.1	652	742	0	True
2238	XP_017114429.1	742	825	1	True
2238	XP_017114429.1	825	951	0	True
#
2238	XP_001354577.3	870	940	0	True
2238	XP_001354577.3	940	1012	1	True
#
23D9	XP_003736512.3	0	105	0	True
23D9	XP_003736512.3	105	132	1	True
23D9	XP_003736512.3	132	282	0	True
#
23D9	XP_016034141.1	0	282	0	True
#
23D9	XP_026832050.1	625	740	0	True
23D9	XP_026832050.1	740	811	1	True
23D9	XP_026832050.1	811	940	0	True
23D9	XP_026832050.1	940	969	1	True
23D9	XP_026832050.1	969	1045	0	True
23D9	XP_026832050.1	1045	1142	1	True
23D9	XP_026832050.1	1142	1240	0	True
23D9	XP_026832050.1	1240	1270	1	True
23D9	XP_026832050.1	1270	1331	0	True
#
2753	XP_033156166.1	2280	2433	0	True
#
2766	XP_015011095.1	1613	1717	0	True
#
2770	XP_017031625.2	0	433	0	True
2770	XP_017031625.2	433	456	1	True
2770	XP_017031625.2	456	1788	0	True
2770	XP_017031625.2	1788	1831	1	True
2770	XP_017031625.2	1831	2831	0	True
#
2770	XP_034126597.1	0	2351	0	True
2770	XP_034126597.1	2351	2752	1	True
2770	XP_034126597.1	2752	2769	0	True
2770	XP_034126597.1	2769	2825	1	True
2770	XP_034126597.1	2825	2831	0	True
#
2770	XP_046865101.1	0	416	0	True
2770	XP_046865101.1	416	436	1	True
2770	XP_046865101.1	436	2831	0	True
#
27CB	XP_016027156.1	0	392	0	True
#
27CB	XP_034139814.1	0	77	0	True
27CB	XP_034139814.1	77	177	1	True
27CB	XP_034139814.1	177	392	0	True
#
27CB	XP_036669234.1	0	50	1	True
27CB	XP_036669234.1	50	392	0	True
#
2C35	FBpp0423201	1932	2888	0	True
#
2CDB	XP_016977831.1	1874	2092	0	True
2CDB	XP_016977831.1	2092	2125	1	True
2CDB	XP_016977831.1	2125	2236	0	True
#
2CDB	XP_017134503.1	1874	1991	0	True
2CDB	XP_017134503.1	1991	2046	1	True
2CDB	XP_017134503.1	2046	2236	0	True
#
2CDB	XP_046866895.1	1763	1846	0	True
2CDB	XP_046866895.1	1846	1879	1	True
2CDB	XP_046866895.1	1879	1892	0	True
2CDB	XP_046866895.1	1892	1916	1	True
2CDB	XP_046866895.1	1916	2235	0	True
2CDB	XP_046866895.1	2235	2296	1	True
2CDB	XP_046866895.1	2296	2236	0	True
2CDB	XP_046866895.1	2236	2296	1	True
2CDB	XP_046866895.1	2296	2425	0	True
#
2D0D	XP_015053667.1	812	1055	0	True
#
2DF5	XP_039152275.1	239	488	0	True
#
2E2F	XP_026841288.1	0	231	0	True
2E2F	XP_026841288.1	231	275	1	True
2E2F	XP_026841288.1	275	860	0	True
#
2E2F	XP_034477217.1	517	1091	0	True
2E2F	XP_034477217.1	1091	1189	1	True
2E2F	XP_034477217.1	1189	1477	0	True
2E2F	XP_034477217.1	1477	1499	1	True
2E2F	XP_034477217.1	1499	1649	0	True
#
2E2F	XP_043066411.1	2235	2293	0	True
2E2F	XP_043066411.1	2293	2323	1	True
2E2F	XP_043066411.1	2323	2438	0	True
#
2E9C	XP_046867867.1	631	1891	0	True
#
3222	XP_020815443.1	0	31	1	True
3222	XP_020815443.1	31	370	0	True
#
3222	XP_032292257.1	0	370	0	True
#
3222	XP_020815443.1	706	979	0	True
#
3222	XP_023173638.2	706	979	0	True
#
3222	XP_032292257.1	1441	1463	0	True
3222	XP_032292257.1	1463	1536	1	True
3222	XP_032292257.1	1536	1596	0	True
#
3222	XP_020815443.1	1536	1594	0	True
3222	XP_020815443.1	1594	1672	1	True
#
32EE	XP_001990105.2	0	753	0	True
32EE	XP_001990105.2	753	893	1	True
32EE	XP_001990105.2	893	1024	0	True
#
32EE	XP_017058134.2	0	450	0	True
32EE	XP_017058134.2	450	724	1	True
32EE	XP_017058134.2	724	975	0	True
32EE	XP_017058134.2	975	999	1	True
32EE	XP_017058134.2	999	1380	0	True
#
32EE	XP_023176545.2	0	994	0	True
32EE	XP_023176545.2	994	1024	1	True
32EE	XP_023176545.2	1024	1380	0	True
#
32EE	XP_036677671.1	0	723	0	True
32EE	XP_036677671.1	723	754	1	True
32EE	XP_036677671.1	754	1024	0	True
#
348D	XP_017090562.2	532	706	0	True
348D	XP_017090562.2	706	745	1	True
348D	XP_017090562.2	745	768	0	True
348D	XP_017090562.2	768	895	1	True
348D	XP_017090562.2	895	960	0	True
348D	XP_017090562.2	960	991	1	True
348D	XP_017090562.2	991	1003	0	True
348D	XP_017090562.2	1003	1018	1	True
348D	XP_017090562.2	1018	1080	0	True
348D	XP_017090562.2	1080	1234	1	True
#
35D6	XP_001991316.2	0	44	1	True
35D6	XP_001991316.2	44	351	0	True
35D6	XP_001991316.2	351	390	1	True
35D6	XP_001991316.2	390	3162	0	True
#
35D6	XP_030568949.1	0	1630	0	True
35D6	XP_030568949.1	1630	1676	1	True
35D6	XP_030568949.1	1676	1901	0	True
35D6	XP_030568949.1	1901	2098	1	True
35D6	XP_030568949.1	2098	2443	0	True
35D6	XP_030568949.1	2443	2471	1	True
35D6	XP_030568949.1	2471	2527	0	True
35D6	XP_030568949.1	2527	2572	1	True
35D6	XP_030568949.1	2572	2884	0	True
35D6	XP_030568949.1	2884	2908	1	True
35D6	XP_030568949.1	2908	3008	0	True
35D6	XP_030568949.1	3008	3043	1	True
35D6	XP_030568949.1	3043	3067	0	True
35D6	XP_030568949.1	3067	3152	1	True
35D6	XP_030568949.1	3152	3162	0	True
#
35D6	XP_037725344.1	0	873	0	True
35D6	XP_037725344.1	873	909	1	True
35D6	XP_037725344.1	909	1883	0	True
35D6	XP_037725344.1	1883	1950	1	True
35D6	XP_037725344.1	1950	2538	0	True
35D6	XP_037725344.1	2538	2572	1	True
35D6	XP_037725344.1	2572	2624	0	True
35D6	XP_037725344.1	2624	2724	1	True
35D6	XP_037725344.1	2724	2832	0	True
35D6	XP_037725344.1	2832	2879	1	True
35D6	XP_037725344.1	2879	2903	0	True
35D6	XP_037725344.1	2903	3155	1	True
35D6	XP_037725344.1	3155	3162	0	True
#
3B02	XP_002106724.3	0	49	1	True
3B02	XP_002106724.3	49	157	0	True
#
3B02	XP_043072007.1	0	68	0	True
3B02	XP_043072007.1	68	95	1	True
3B02	XP_043072007.1	95	157	0	True
#
3B02	XP_039500125.2	0	48	0	True
3B02	XP_039500125.2	48	70	1	True
3B02	XP_039500125.2	70	157	0	True
